copyMode	escape	exitCopyMode	both
global	c+end	scrollBottom	both
global	c+home	scrollTop	both
global	c+tab	agentNext	enhanced-terminal
global	cs+tab	agentPrevious	enhanced-terminal
global	f1	helpKeymap	both
global	m+,	agentPrevious	both
global	m+.	agentNext	both
global	m+1	agent1	both
global	m+2	agent2	both
global	m+3	agent3	both
global	m+4	agent4	both
global	m+5	agent5	both
global	m+6	agent6	both
global	m+7	agent7	both
global	m+8	agent8	both
global	m+9	agent9	both
global	m+down	scrollPageDown	both
global	m+p	postureCycle	both
global	m+up	scrollPageUp	both
global	pagedown	scrollPageDown	both
global	pageup	scrollPageUp	both
global	u+1	agent1	enhanced-terminal
global	u+2	agent2	enhanced-terminal
global	u+3	agent3	enhanced-terminal
global	u+4	agent4	enhanced-terminal
global	u+5	agent5	enhanced-terminal
global	u+6	agent6	enhanced-terminal
global	u+7	agent7	enhanced-terminal
global	u+8	agent8	enhanced-terminal
global	u+9	agent9	enhanced-terminal
global	u+down	scrollBottom	enhanced-terminal
global	u+up	scrollTop	enhanced-terminal
liveBlock	+	dollyIn	both
liveBlock	-	dollyOut	both
liveBlock	=	dollyIn	both
liveBlock	?	helpKeymap	both
liveBlock	[	orbitLeft	both
liveBlock	]	orbitRight	both
liveBlock	c+a	selectAllElements	both
liveBlock	down	rowDown	both
liveBlock	enter	rowActivate	both
liveBlock	escape	focusPrompt	both
liveBlock	left	cursorLeft	both
liveBlock	m+C	enterCopyMode	both
liveBlock	m+V	enterSemanticSelection	both
liveBlock	m+enter	rerunEntry	both
liveBlock	m+v	valuesToggle	both
liveBlock	o	orbitToggle	both
liveBlock	pagedown	blockPageDown	both
liveBlock	pageup	blockPageUp	both
liveBlock	r	cameraReset	both
liveBlock	right	cursorRight	both
liveBlock	s+down	extendRowDown	both
liveBlock	s+enter	rerunEntry	both
liveBlock	s+tab	entryPrev	both
liveBlock	s+up	extendRowUp	both
liveBlock	tab	entryNext	both
liveBlock	up	rowUp	both
liveBlock	y	copyElement	both
liveBlock	{	tiltDown	both
liveBlock	}	tiltUp	both
overlay	c+r	searchOlder	both
overlay	down	menuNext	both
overlay	enter	menuAccept	both
overlay	escape	dismiss	both
overlay	tab	menuNext	both
overlay	up	menuPrev	both
prompt	backspace	backspace	both
prompt	c+a	home	both
prompt	c+e	end	both
prompt	c+h	backspace	both
prompt	c+j	insertNewline	both
prompt	c+k	killToEnd	both
prompt	c+left	wordLeft	both
prompt	c+r	reverseSearch	both
prompt	c+right	wordRight	both
prompt	c+u	killToStart	both
prompt	c+w	killWordLeft	both
prompt	c+y	yank	both
prompt	c+z	undo	both
prompt	cs+c	copySelection	enhanced-terminal
prompt	cs+v	yank	enhanced-terminal
prompt	delete	delete	both
prompt	down	historyNext	both
prompt	end	end	both
prompt	home	home	both
prompt	left	left	both
prompt	m+C	enterCopyMode	both
prompt	m+V	enterSemanticSelection	both
prompt	m+a	selectAll	both
prompt	m+b	wordLeft	both
prompt	m+backspace	queueDrop	both
prompt	m+d	killWordRight	both
prompt	m+enter	insertNewline	both
prompt	m+f	wordRight	both
prompt	m+v	valuesToggle	both
prompt	m+w	copySelection	both
prompt	m+z	redo	both
prompt	ms+left	extendWordLeft	both
prompt	ms+right	extendWordRight	both
prompt	right	acceptGhostOrForward	both
prompt	s+end	extendLineEnd	both
prompt	s+enter	insertNewline	both
prompt	s+home	extendLineStart	both
prompt	s+left	extendCharLeft	both
prompt	s+right	extendCharRight	both
prompt	s+tab	focusTranscript	both
prompt	tab	complete	both
prompt	up	historyPrev	both
pushedView	G	viewBottom	both
pushedView	down	viewPageDown	both
pushedView	escape	viewPop	both
pushedView	g	viewTop	both
pushedView	n	viewNextHunk	both
pushedView	p	viewPrevHunk	both
pushedView	pagedown	viewPageDown	both
pushedView	pageup	viewPageUp	both
pushedView	s+tab	viewPrevSection	both
pushedView	tab	viewNextSection	both
pushedView	up	viewPageUp	both
